S.No,L,W,F,S11
1,16.24,22.66,4.24,-17.35802195
2,16.64,22.66,4.14,-17.07160923
3,17.04,22.66,4.06,-16.99912329
4,17.44,22.66,3.99,-16.79111539
5,17.84,22.66,3.9,-16.53789429
6,18.24,22.66,3.84,-16.50135049
7,18.64,22.66,3.76,-16.1038611
8,19.04,22.66,3.69,-15.94854562
9,19.44,22.66,3.63,-15.6950845
10,19.84,22.66,3.56,-15.35539554
11,20.24,22.66,3.5,-15.07599006
12,20.64,22.66,3.44,-14.71881588
13,21.04,22.66,3.38,-14.89791368
14,21.44,22.66,3.28,-4.825832935
15,21.84,22.66,3.22,-4.687005785
16,22.24,22.66,3.15,-4.600162825
17,22.64,22.66,3.1,-4.544711213
18,23.04,22.66,3.04,-4.493971907
19,23.44,22.66,2.99,-4.479812848
20,23.84,22.66,2.94,-4.460644106
21,24.24,22.66,2.89,-4.442835424
22,24.64,22.66,2.84,-4.431008855
23,25.04,22.66,2.8,-4.436394117
24,25.44,22.66,2.76,-4.440608129
25,25.84,22.66,2.71,-4.42495316
26,26.24,22.66,2.67,-4.434571883
27,16.24,23.06,4.2,-18.50129282
28,16.64,23.06,4.12,-18.18942232
29,17.04,23.06,4.05,-17.94994084
30,17.44,23.06,3.98,-17.73071075
31,17.84,23.06,3.89,-17.28063847
32,18.24,23.06,3.82,-17.10446958
33,18.64,23.06,3.75,-16.88865213
34,19.04,23.06,3.69,-16.94218468
35,19.44,23.06,3.62,-16.32425613
36,19.84,23.06,3.56,-16.11448742
37,20.24,23.06,3.5,-15.64727929
38,20.64,23.06,3.44,-15.44799277
39,21.04,23.06,3.38,-15.56004056
40,21.44,23.06,3.28,-4.950739418
41,21.84,23.06,3.21,-4.786222229
42,22.24,23.06,3.15,-4.698806756
43,22.64,23.06,3.09,-4.64867089
44,23.04,23.06,3.04,-4.608085473
45,23.44,23.06,2.98,-4.560424292
46,23.84,23.06,2.93,-4.557370157
47,24.24,23.06,2.89,-4.530575249
48,24.64,23.06,2.84,-4.541608192
49,25.04,23.06,2.8,-4.530668859
50,25.44,23.06,2.75,-4.535121346
51,25.84,23.06,2.71,-4.538897468
52,26.24,23.06,2.67,-4.5337417
53,16.24,23.46,4.2,-19.81153357
54,16.64,23.46,4.13,-19.43362383
55,17.04,23.46,4.04,-18.95929296
56,17.44,23.46,3.97,-18.84541285
57,17.84,23.46,3.9,-18.48208321
58,18.24,23.46,3.83,-18.42606365
59,18.64,23.46,3.75,-17.97257128
60,19.04,23.46,3.68,-17.5092136
61,19.44,23.46,3.61,-17.19780644
62,19.84,23.46,3.55,-16.88672336
63,20.24,23.46,3.49,-16.01277239
64,20.64,23.46,3.43,-15.8888607
65,21.04,23.46,3.37,-16.27162656
66,21.44,23.46,3.27,-5.071450842
67,21.84,23.46,3.21,-4.909585871
68,22.24,23.46,3.15,-4.821495153
69,22.64,23.46,3.09,-4.75440105
70,23.04,23.46,3.04,-4.71303779
71,23.44,23.46,2.98,-4.674244273
72,23.84,23.46,2.93,-4.664938166
73,24.24,23.46,2.88,-4.64650264
74,24.64,23.46,2.84,-4.625310152
75,25.04,23.46,2.79,-4.639609035
