L_actual,L_predicted,W_actual,W_predicted,F_actual,F_predicted,S11_actual,S11_predicted
16.24,16.229996176041823,22.66,23.27440328495868,4.24,3.946664781572963,-17.35802195,-15.26225559177692
16.64,16.600194447664762,22.66,24.484911336170626,4.14,4.111770041623004,-17.07160923,-16.421170194837032
17.04,17.244667778721123,22.66,24.874620294038323,4.06,4.150390291838903,-16.99912329,-16.35393805950298
17.44,17.687818325021,22.66,24.78729388730426,3.99,4.121130138360513,-16.79111539,-15.483752953557996
17.84,18.32393272414447,22.66,25.959510640837834,3.9,4.048294895206254,-16.53789429,-17.06169610339566
18.24,18.872136457108354,22.66,25.064999299895135,3.84,3.8507331376181355,-16.50135049,-15.899943928787252
18.64,19.231878805321685,22.66,25.886521983265993,3.76,3.7883877723738806,-16.1038611,-16.259264363878174
19.04,19.634963334638087,22.66,25.933286568164476,3.69,3.609363633573139,-15.94854562,-15.918775755300885
19.44,19.830031673960548,22.66,25.14143449779658,3.63,3.497519472098702,-15.6950845,-15.941400550975231
19.84,19.961021038265244,22.66,25.532466933203978,3.56,3.477072282913923,-15.35539554,-15.45653594317264
20.24,19.998801332387302,22.66,25.023925276487716,3.5,3.4609139820036035,-15.07599006,-15.84737171602319
20.64,19.9730149607185,22.66,24.739489344137837,3.44,3.5582037369254067,-14.71881588,-16.346405331947608
21.04,19.588201745324113,22.66,24.842320851996192,3.38,3.272757821652249,-14.89791368,-16.764962347311666
21.44,21.236952118217232,22.66,22.209028377968934,3.28,3.2892386904327395,-4.825832935,-7.355502740159864
21.84,21.78358127109641,22.66,21.779903183996794,3.22,3.2107021703463943,-4.687005785,-6.705207937426167
22.24,22.331522970727747,22.66,22.55377962657076,3.15,3.15992748466806,-4.600162825,-3.820331075839931
22.64,22.697953601897098,22.66,21.873779783563805,3.1,3.118956760111814,-4.544711213,-5.5780296198499855
23.04,23.11693481798102,22.66,22.24330399844621,3.04,3.054311494369813,-4.493971907,-5.397228547983104
23.44,23.459628189613795,22.66,22.14768738260318,2.99,3.028993608649671,-4.479812848,-6.789430607081158
23.84,23.809179595116802,22.66,22.265359478027676,2.94,2.979810503898534,-4.460644106,-7.73746579469298
24.24,24.17404376302693,22.66,22.524726510819164,2.89,2.9230701984938605,-4.442835424,-8.228903631068533
24.64,24.5670163703453,22.66,22.824594419755158,2.84,2.8731328918524923,-4.431008855,-8.333268878777744
25.04,24.915035906151388,22.66,23.051701816453715,2.8,2.8598688843353557,-4.436394117,-6.836317211826099
25.44,25.298069858223244,22.66,23.369821563435835,2.76,2.8506643978557804,-4.440608129,-4.238967904617311
25.84,25.831920506176175,22.66,23.071772743554902,2.71,2.803326989678226,-4.42495316,-2.549242069508182
26.24,26.330891061856164,22.66,22.716776926841703,2.67,2.825106230354777,-4.434571883,1.125886522611836
16.24,16.21616268184698,23.06,24.27196524712781,4.2,3.997201261664941,-18.50129282,-19.413330733514158
16.64,16.44881954205448,23.06,24.836995023026248,4.12,4.12139570438876,-18.18942232,-19.050781412253855
17.04,16.814880875694143,23.06,24.89810528048838,4.05,4.149554728044222,-17.94994084,-17.694099671178265
17.44,17.28973268820664,23.06,24.87639708154893,3.98,4.100840002641689,-17.73071075,-16.61953561005066
17.84,17.805529399438456,23.06,26.299073193935328,3.89,4.063548231011282,-17.28063847,-17.815713748306734
18.24,18.414810208078052,23.06,26.345325067304657,3.82,3.926663748426563,-17.10446958,-16.987096026859945
18.64,18.964717864304475,23.06,26.45380496159487,3.75,3.782228618519639,-16.88865213,-16.25715477889753
19.04,19.538616597359578,23.06,25.601754196584807,3.69,3.497776830031853,-16.94218468,-15.63658512730035
19.44,19.74615895173156,23.06,26.01096220985346,3.62,3.573876669238871,-16.32425613,-15.059257323940983
19.84,20.04273261735034,23.06,25.405110527426586,3.56,3.466390618219066,-16.11448742,-15.106679402844748
20.24,20.22665174562826,23.06,24.989667738511343,3.5,3.5638597440497506,-15.64727929,-15.440036115440307
20.64,20.384968623458917,23.06,24.782248145682388,3.44,3.538253624990375,-15.44799277,-15.873968018189771
21.04,20.297992019723097,23.06,24.964137928458513,3.38,3.3306112192672117,-15.56004056,-16.220096069126157
21.44,21.164182185986647,23.06,22.433311039945693,3.28,3.281973787613879,-4.950739418,-6.542185267928289
21.84,21.831363630210035,23.06,22.877944239837234,3.21,3.1773450587256775,-4.786222229,-3.1663611539115664
22.24,22.320477498482433,23.06,22.76685860399448,3.15,3.1305153575754048,-4.698806756,-2.397343912831275
22.64,22.76373070905356,23.06,22.946994434067165,3.09,3.0997898114123927,-4.64867089,-1.8869849198672455
23.04,23.11830350499622,23.06,22.503762753287447,3.04,3.052585474074931,-4.608085473,-3.5264277024252806
23.44,23.533311072043944,23.06,23.01645472070959,2.98,2.9677229887397516,-4.560424292,-3.6239428925618995
23.84,23.8872429623716,23.06,23.045816621699487,2.93,2.939561592641894,-4.557370157,-5.12189039788791
24.24,24.1753127577158,23.06,22.744441730508697,2.89,2.8568073266665124,-4.530575249,-6.456849927752046
24.64,24.575437478719323,23.06,23.12543755544175,2.84,2.8366089563510286,-4.541608192,-6.790990273322677
25.04,24.915409971288682,23.06,23.30767179497343,2.8,2.7714417239417344,-4.530668859,-6.125349058333086
25.44,25.399540930569856,23.06,23.44721007203043,2.75,2.737170902249545,-4.535121346,-5.649277091404656
25.84,25.838381557425237,23.06,23.444901025111903,2.71,2.7045630427469405,-4.538897468,-3.638820569467498
26.24,26.326798273692475,23.06,23.06656299410679,2.67,2.655168187725849,-4.5337417,-1.4585401041258592
16.24,16.15784559066924,23.46,23.941529533665744,4.2,4.053475127207548,-19.81153357,-20.7813976064499
16.64,16.218707763020575,23.46,23.926521118512028,4.13,4.139903604905612,-19.43362383,-19.16843708368833
17.04,16.50291382575051,23.46,24.988941119183437,4.04,4.157884580608425,-18.95929296,-19.891640605259454
17.44,17.109347536721543,23.46,24.974243456919794,3.97,4.069860307908584,-18.84541285,-18.687081198528176
17.84,17.533048650684577,23.46,25.04748666282103,3.9,3.976122678295269,-18.48208321,-17.809769023762783
18.24,18.27650343939422,23.46,25.008365329544176,3.83,3.7723594789435992,-18.42606365,-17.247060292371316
